Date,Close,High,Low,Open,Volume
06/01/2020,5.89982605,5.905052398,5.755727893,5.781859634,262636000
07/01/2020,5.971253395,6.017046364,5.883151689,5.928197969,314856000
08/01/2020,5.982452869,6.02376618,5.926953892,5.967022562,277108000
09/01/2020,6.048154354,6.120577,5.994397505,6.068811004,255112000
10/01/2020,6.080508232,6.185782344,6.066322568,6.155419687,316296000
13/01/2020,6.271146297,6.296282607,6.140984617,6.163632597,319840000
14/01/2020,6.154176235,6.253726061,6.140985521,6.228340535,359088000
15/01/2020,6.111618519,6.189267528,6.085735516,6.166868757,263104000
16/01/2020,6.195239067,6.201212103,6.141730958,6.16512515,284192000
17/01/2020,6.203948975,6.22186808,6.156413906,6.214401667,253792000
21/01/2020,6.170600414,6.204198561,6.136504317,6.167364921,217916000
22/01/2020,6.224606037,6.31121434,6.196980926,6.215895459,239240000
23/01/2020,6.293048382,6.301510224,6.175828652,6.264677048,244516000
24/01/2020,6.23381424,6.458299349,6.179559447,6.408524214,373512000
27/01/2020,5.977971554,6.028990858,5.77961816,5.929191841,470536000
28/01/2020,6.171348095,6.203701607,5.990664573,6.04392395,310976000
29/01/2020,6.110872269,6.193000937,6.071051863,6.156913975,258848000
30/01/2020,6.117590427,6.131029877,5.958061992,6.013063007,290504000
31/01/2020,5.884145737,6.083743301,5.84233496,6.07179723,370420000
03/02/2020,5.981206894,6.000618903,5.859755804,5.865977577,255564000
04/02/2020,6.150441647,6.169605394,6.073041868,6.123065746,271544000
05/02/2020,6.240783215,6.281598563,6.157409927,6.271394607,208220000
06/02/2020,6.32764101,6.32764101,6.193995567,6.275128797,218284000
07/02/2020,6.261440754,6.309722523,6.23605523,6.287572492,189752000
10/02/2020,6.544660091,6.545406306,6.279110376,6.284087985,529608000
11/02/2020,6.667106628,6.781838017,6.590951004,6.652920963,638556000
12/02/2020,6.782832623,6.789303609,6.681042747,6.719867244,374644000
13/02/2020,6.739029884,6.806226177,6.697467849,6.724844222,528016000
14/02/2020,7.212141991,7.341059034,7.117818525,7.149176609,1041924000
18/02/2020,7.380878448,7.399295507,7.08944623,7.108858241,620164000
19/02/2020,7.832088947,7.849759318,7.503325584,7.503325584,694332000
20/02/2020,7.68276453,7.872406893,7.37540403,7.784056461,810052000
21/02/2020,7.318659782,7.5956576,7.23379359,7.570521291,768180000
24/02/2020,6.801249981,7.015033712,6.669844123,6.724347668,856916000
25/02/2020,6.521763325,6.938379636,6.419973445,6.876409682,1055496000
26/02/2020,6.661133766,6.855256278,6.520519848,6.522012751,747732000
27/02/2020,6.290336609,6.64893075,6.197948775,6.347611927,906416000
28/02/2020,6.725381851,6.784898585,6.021143174,6.037827619,1133252000
02/03/2020,6.883759499,6.912646518,6.499516254,6.895463829,890744000
03/03/2020,6.621289253,6.999307024,6.535874048,6.939541411,652792000
04/03/2020,7.084971905,7.09443483,6.653911743,6.728619123,597408000
05/03/2020,6.805566788,7.052349007,6.760991346,6.885503159,540328000
06/03/2020,6.625025272,6.683545983,6.424810043,6.626021295,515412000
09/03/2020,6.112034798,6.459671687,5.931243724,5.974075524,614160000
10/03/2020,6.501509666,6.501509666,6.125733245,6.388452807,580648000
11/03/2020,6.137684822,6.389945863,6.040565765,6.361557092,499964000
12/03/2020,5.386630535,5.87994612,5.373930181,5.614486921,816540000
13/03/2020,5.997484684,6.001967022,5.468807748,5.739994166,634836000
16/03/2020,4.890824795,5.630425409,4.83105917,5.289511654,726972000
17/03/2020,5.410536766,5.499936547,4.756351899,5.003134147,833632000
18/03/2020,5.050696373,5.228001143,4.499358442,4.982962116,874268000
19/03/2020,5.30345726,5.397090022,4.815868874,5.029281769,765512000
20/03/2020,5.123660088,5.7355107,5.108220558,5.453616029,804636000
23/03/2020,5.296483994,5.390864363,4.943617513,5.12266549,643876000
24/03/2020,6.205169678,6.291830256,5.678983087,5.702640157,1101644000
25/03/2020,6.116517544,6.519935497,6.067708658,6.320218565,793432000
26/03/2020,6.405884266,6.529897836,6.225590921,6.32370601,696108000
27/03/2020,6.29357481,6.552310269,6.192720062,6.225591176,638828000
30/03/2020,6.613819122,6.623033161,6.314990552,6.35906775,602252000
31/03/2020,6.564262867,6.858110819,6.4185838,6.653911048,949960000
01/04/2020,6.053016663,6.512714412,6.008441699,6.366288693,656912000
02/04/2020,6.36180687,6.375004996,6.034091778,6.082153061,675764000
03/04/2020,6.073935986,6.365791446,5.93647492,6.324204543,663212000
06/04/2020,6.683795452,6.720651134,6.298555608,6.356080301,727884000
07/04/2020,6.450458527,6.929082124,6.407377359,6.905424578,784520000
08/04/2020,6.647685051,6.672587506,6.489555005,6.559530672,542444000
09/04/2020,6.548075676,6.796352144,6.48507264,6.773442208,525564000
13/04/2020,6.719902039,6.728617827,6.399906749,6.488310013,398408000
14/04/2020,7.071025372,7.105141389,6.820507496,6.848149131,530948000
15/04/2020,6.993579388,7.0765043,6.857612606,6.902934708,366148000
16/04/2020,7.338726044,7.445806278,7.135772132,7.148970258,745620000
17/04/2020,7.279459,7.44232029,7.145484257,7.420904147,539120000
20/04/2020,7.148222923,7.308843271,7.103896845,7.152954623,449388000
21/04/2020,6.711434841,7.091444608,6.651669236,7.030185208,735160000
22/04/2020,7.125811577,7.168643864,6.858111442,6.903682435,483356000
23/04/2020,7.07252121,7.299879853,7.04736986,7.167897608,424160000
24/04/2020,7.211476326,7.213468371,6.987604006,7.062311392,352328000
27/04/2020,7.397993088,7.557866287,7.321293679,7.345947247,479388000
28/04/2020,7.255551815,7.575298229,7.250073455,7.545415187,442904000
29/04/2020,7.432359695,7.48515268,7.315069394,7.390274545,379160000
30/04/2020,7.278461456,7.432358038,7.264516196,7.378319681,375916000
01/05/2020,7.041889191,7.194291509,6.993578552,7.080985793,342096000
04/05/2020,7.253808498,7.267504873,6.994574835,6.994574835,317556000
05/05/2020,7.31482029,7.477432691,7.253809291,7.357901461,368896000
06/05/2020,7.41567421,7.520513511,7.356406846,7.394258543,323464000
