Date,key_0,Close,High,Low,Open,Volume,finbert_sentiment
2022-01-27,2022-01-27,21.90039253,23.94731732,21.63192609,23.52116582,573353000.0,0.0
2022-01-28,2022-01-28,22.79461098,22.81257486,21.25367869,21.96825541,543774000.0,0.0
2022-01-31,2022-01-31,24.43733788,24.46029288,23.00618772,23.13592852,564680000.0,0.0
2022-02-01,2022-02-01,24.58903503,25.09502739,23.84252051,25.05410851,518925000.0,0.0
2022-02-02,2022-02-02,25.19183922,25.76569543,24.50420733,25.74274232,543419000.0,0.0
2022-02-03,2022-02-03,23.90040588,25.02716183,23.7327405,24.40939254,410178000.0,0.0
2022-02-04,2022-02-04,24.27066803,24.58603999,23.58503312,23.92435754,354829000.0,0.0
2022-02-07,2022-02-07,24.6788559,25.13195218,24.1539003,24.32356252,376868000.0,0.0
2022-02-08,2022-02-08,25.05809975,25.17985702,23.93234129,24.31058777,410359000.0,0.0
2022-02-09,2022-02-09,26.65192604,26.67188675,25.30261374,25.57107823,524282000.0,0.0
2022-02-10,2022-02-10,25.77267838,26.87149015,25.54912451,25.94333997,513200000.0,0.0
2022-02-11,2022-02-11,23.90140343,26.10002623,23.72575452,25.86449519,605472000.0,0.0
2022-02-14,2022-02-14,24.21877861,24.82557024,23.70779498,23.88644014,440424000.0,0.0
2022-02-15,2022-02-15,26.44234848,26.49224836,24.73474823,24.89941935,699869000.0,0.0
2022-02-16,2022-02-16,26.45831108,26.52917102,25.50121739,26.20681301,732676000.0,0.0
2022-02-17,2022-02-17,24.45829201,25.73375184,24.11697268,25.57905922,810595000.0,0.0
2022-02-18,2022-02-18,23.59501457,24.9363434,23.05409191,24.61897459,761255000.0,0.0
2022-02-22,2022-02-22,23.3435173,24.01617767,22.95429295,22.98922324,633422000.0,0.0
2022-02-23,2022-02-23,22.3425045,24.10699212,22.25667689,23.75469307,566511000.0,0.0
2022-02-24,2022-02-24,23.70080566,23.75270237,20.84848546,20.97323705,735801000.0,0.0
2022-02-25,2022-02-25,24.10898781,24.16886803,23.33453103,23.67385543,528866000.0,0.0
2022-02-28,2022-02-28,24.33653831,24.61598254,23.65988625,23.9443197,477319000.0,0.0
2022-03-01,2022-03-01,23.43033791,24.32855065,23.08602429,24.24272113,412056000.0,0.0
2022-03-02,2022-03-02,24.17598343,24.36464103,23.37244798,23.71282788,389642000.0,0.0
2022-03-03,2022-03-03,23.67090034,24.28178754,23.4263448,24.21790278,365095000.0,0.0
2022-03-04,2022-03-04,22.89431572,23.63696302,22.44114037,23.34150145,431415000.0,0.0
2022-03-07,2022-03-07,21.31319427,22.99114089,21.2912349,22.77553194,450821000.0,0.0
2022-03-08,2022-03-08,21.47490501,22.33234331,20.61247474,21.27027761,557467000.0,0.0
2022-03-09,2022-03-09,22.9721756,23.1778006,22.2065693,22.34631427,492742000.0,0.0
2022-03-10,2022-03-10,22.61682129,22.74658418,21.84223065,22.4900513,428066000.0,0.0
2022-03-11,2022-03-11,22.05984116,23.1029423,22.00593843,22.98016471,367209000.0,0.0
2022-03-14,2022-03-14,21.29123497,22.22154037,21.12054622,21.82925495,385354000.0,0.0
2022-03-15,2022-03-15,22.93124962,22.99613202,21.28325099,21.47889394,491996000.0,0.0
2022-03-16,2022-03-16,24.45148087,24.55229714,23.12988772,23.45729072,671422000.0,0.0
2022-03-17,2022-03-17,24.72098923,24.79684941,23.86255164,24.07616341,471941000.0,0.0
2022-03-18,2022-03-18,26.40492249,26.52071279,24.57924801,24.75392919,730719000.0,0.0
2022-03-21,2022-03-21,26.68541336,27.10265487,25.91980709,26.45882662,591727000.0,0.0
2022-03-22,2022-03-22,26.47580147,27.18850471,26.02462317,26.6784317,547007000.0,0.0
2022-03-23,2022-03-23,25.5874157,26.5636371,25.5285229,26.07852025,502120000.0,0.0
2022-03-24,2022-03-24,28.09883881,28.26852992,25.85991528,26.11844534,877379000.0,0.0
2022-03-25,2022-03-25,27.64167404,28.30646407,27.22143961,27.83532172,579016000.0,0.0
2022-03-28,2022-03-28,28.16771698,28.19866078,27.15655744,27.70555905,425494000.0,0.0
